1,Nguyễn Anh Minh
2,Hoàng Anh Hà
3,Đinh Thị Trung
4,Nguyễn Thị Lan
5,Nguyễn Hoàng Khánh
6,Austin Hill
7,Dương Xuân Minh
8,James Hernandez
9,Bùi Đức Hoàng
10,Bùi Thị Giang
11,Đỗ Phương Phong
12,Trần Anh Thanh
13,Hồ Thị Tiến
14,Đỗ Xuân Khánh
15,John Thomas
16,Jennifer Thomas
17,Mark Jackson
18,Đỗ Hữu Phúc
19,Võ Anh Vũ
20,Huỳnh Hoàng Long
21,Hồ Đức Uyên
22,Vũ Bảo Ngọc
23,Noah Brown
24,Trần Tuấn Ngọc
25,Lê Minh Trang
26,Matthew Anderson
27,Hồ Hồng Vân
28,Võ Hữu Long
29,Brian Moore
30,Margaret Robinson
31,Hoàng Hoàng Thiên
32,Trần Phương Hiếu
33,Huỳnh Tuấn Vũ
34,Lê Thanh Phương
35,Dương Hoàng Mai
36,James Davis
37,Đinh Tuấn Minh
38,Lisa Davis
39,Huỳnh Ngọc An
40,Sophia Moore
41,Liam Lopez
42,Phạm Phương Uyên
43,Trịnh Xuân Khánh
44,Huỳnh Hoàng Thu
45,Timothy Thompson
46,Phạm Hồng Phúc
47,Karen Taylor
48,Lê Thị Thiên
49,Liam Hill
50,David Wright
51,William Moore
52,Ngô Minh Thuỷ
53,Austin Wilson
54,Betty Clark
55,Trịnh Ngọc Hiếu
56,Lê Quốc Bảo
57,Vũ Xuân Linh
58,Trần Minh Đức
59,Lisa Jones
60,Võ Bảo Thiên
61,Hoàng Anh Trang
62,Vũ Tuấn Thắng
63,Richard Miller
64,Ngô Quốc Sơn
65,Trần Bảo Vân
66,Michael Brown
67,Bùi Tuấn Hà
68,Phan Hoàng Thảo
69,Huỳnh Đức Thanh
70,Lê Ngọc Tiến
71,Đinh Phương An
72,Liam Taylor
73,Lý Ngọc Lan
74,Patricia Hernandez
75,Hồ Đức Thanh
76,Đinh Bảo Yến
77,Phan Đức Lan
78,Michelle Hill
79,Bùi Văn Dũng
80,Trịnh Hồng Thu
81,Trịnh Thị Hương
82,Lê Bảo Long
83,Vũ Xuân Tuấn
84,Lê Thanh Việt
85,Trịnh Quốc Mai
86,Bùi Minh Mai
87,Đặng Ngọc Ngọc
88,Robert Smith
89,Phạm Thị Thuỷ
90,Võ Hữu Phong
91,Jessica Clark
92,Dương Phương Thuỷ
93,Laura Nguyen
94,Đinh Đức Việt
95,Hoàng Đức Hiếu
96,Emma Martinez
97,Phan Anh Nhung
98,Võ Hoàng Thiên
99,Trần Thị Uyên
100,Võ Văn An
101,Hoàng Bảo Mai
102,Dương Hoàng Yến
103,Nguyễn Thị Đức
104,Austin Martinez
105,Đỗ Xuân Tiến
106,Hoàng Văn Ngân
107,Trần Hồng Phong
108,Vũ Bảo Hà
109,Đinh Hồng Quỳnh
110,Emma Martinez
111,Jessica Hernandez
112,Barbara Walker
113,Bùi Tuấn Quỳnh
114,Emma Taylor
115,Phạm Thanh Chi
116,Joseph Wilson
117,Sandra Harris
118,Vũ Minh Bảo
119,Hồ Quốc Minh
120,Noah Jackson
121,Trịnh Thanh Vũ
122,Brian White
123,Linda Moore
